frame,timestamp_sec,player,shot
383,15.32,1,FOREHAND
383,15.32,2,FOREHAND
384,15.36,1,FOREHAND
384,15.36,2,FOREHAND
384,15.36,3,FOREHAND
385,15.4,1,FOREHAND
385,15.4,2,FOREHAND
385,15.4,3,FOREHAND
386,15.44,1,BACKHAND
386,15.44,2,FOREHAND
387,15.48,1,BACKHAND
387,15.48,2,FOREHAND
388,15.52,1,BACKHAND
388,15.52,2,FOREHAND
388,15.52,3,FOREHAND
389,15.56,1,BACKHAND
389,15.56,2,FOREHAND
390,15.6,1,FOREHAND
390,15.6,2,FOREHAND
391,15.64,1,BACKHAND
391,15.64,2,FOREHAND
392,15.68,1,BACKHAND
392,15.68,2,FOREHAND
393,15.72,1,BACKHAND
393,15.72,2,FOREHAND
394,15.76,1,FOREHAND
394,15.76,2,FOREHAND
395,15.8,1,BACKHAND
395,15.8,2,FOREHAND
396,15.84,1,FOREHAND
396,15.84,2,BACKHAND
397,15.88,1,FOREHAND
397,15.88,2,FOREHAND
398,15.92,1,FOREHAND
398,15.92,2,FOREHAND
399,15.96,1,FOREHAND
399,15.96,2,FOREHAND
400,16.0,1,FOREHAND
400,16.0,2,FOREHAND
401,16.04,1,FOREHAND
401,16.04,2,BACKHAND
402,16.08,1,FOREHAND
402,16.08,2,BACKHAND
403,16.12,1,FOREHAND
403,16.12,2,BACKHAND
404,16.16,1,FOREHAND
404,16.16,2,BACKHAND
405,16.2,1,FOREHAND
405,16.2,2,BACKHAND
406,16.24,1,FOREHAND
406,16.24,2,BACKHAND
407,16.28,1,FOREHAND
407,16.28,2,BACKHAND
408,16.32,1,FOREHAND
408,16.32,2,FOREHAND
409,16.36,1,FOREHAND
409,16.36,2,FOREHAND
410,16.4,1,FOREHAND
410,16.4,2,FOREHAND
411,16.44,1,FOREHAND
411,16.44,2,FOREHAND
412,16.48,1,FOREHAND
412,16.48,2,FOREHAND
413,16.52,1,FOREHAND
413,16.52,2,FOREHAND
414,16.56,1,FOREHAND
414,16.56,2,FOREHAND
415,16.6,1,BACKHAND
415,16.6,2,BACKHAND
416,16.64,1,BACKHAND
416,16.64,2,BACKHAND
417,16.68,1,FOREHAND
417,16.68,2,BACKHAND
418,16.72,1,FOREHAND
